,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,round,player,action_player,opponent,action_opponent,payoff,time_php,time_js,who_played,treatment,session,context,prev,prev_player,prev_opp,prev_p2,prev_o2,km_cont_1_100,hc_cont_1_100,km_cont_sub_1_100,hc_cont_sub_1_100
11,5310,5310,110,12,s11n9usuario1,D,s11n9usuario9,D,1,2288.20014,2262,user,rand,s11n9,CDD,CD,C,D,D,C,0,1,0,3
12,5320,5320,120,13,s11n9usuario1,D,s11n9usuario7,D,1,1270.99990845,1246,user,rand,s11n9,DDD,DD,D,D,C,D,0,1,0,3
13,5330,5330,130,14,s11n9usuario1,D,s11n9usuario2,C,4,1782.50002861,1756,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
14,5340,5340,140,15,s11n9usuario1,D,s11n9usuario9,D,1,3273.79989624,3246,user,rand,s11n9,DCD,DC,D,C,D,D,0,1,0,3
15,5350,5350,150,16,s11n9usuario1,D,s11n9usuario5,D,1,3219.70009804,3199,user,rand,s11n9,DDD,DD,D,D,D,C,0,1,0,3
16,5360,5360,160,17,s11n9usuario1,D,s11n9usuario3,C,4,6849.40004349,6817,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
17,5370,5370,170,18,s11n9usuario1,D,s11n9usuario4,C,4,7397.30000496,7368,user,rand,s11n9,DCD,DC,D,C,D,D,0,1,0,3
18,5380,5380,180,19,s11n9usuario1,D,s11n9usuario2,D,1,2662.40000725,2637,user,rand,s11n9,DCD,DC,D,C,D,C,0,1,0,3
19,5390,5390,190,20,s11n9usuario1,C,s11n9usuario10,D,0,1599.40004349,1572,user,rand,s11n9,DDC,DD,D,D,D,C,0,1,0,3
20,5400,5400,200,21,s11n9usuario1,C,s11n9usuario6,C,3,942.69990921,911,user,rand,s11n9,CDC,CD,C,D,D,D,0,1,0,3
21,5410,5410,210,22,s11n9usuario1,D,s11n9usuario2,D,1,3319.99993324,3301,user,rand,s11n9,CCD,CC,C,C,C,D,0,1,0,3
22,5420,5420,220,23,s11n9usuario1,C,s11n9usuario6,D,0,1993.79992485,1968,user,rand,s11n9,DDC,DD,D,D,C,C,0,1,0,3
23,5430,5430,230,24,s11n9usuario1,D,s11n9usuario6,C,4,2510.69998741,2490,user,rand,s11n9,CDD,CD,C,D,D,D,0,1,0,3
24,5440,5440,240,25,s11n9usuario1,D,s11n9usuario3,C,4,1953.50003242,1929,user,rand,s11n9,DCD,DC,D,C,C,D,0,1,0,3
25,5450,5450,250,26,s11n9usuario1,D,s11n9usuario10,D,1,2346.69995308,2319,user,rand,s11n9,DCD,DC,D,C,D,C,0,1,0,3
26,5460,5460,260,27,s11n9usuario1,C,s11n9usuario10,D,0,3385.29992104,3366,user,rand,s11n9,DDC,DD,D,D,D,C,0,1,0,3
27,5470,5470,270,28,s11n9usuario1,C,s11n9usuario4,C,3,1933.70008469,1910,user,rand,s11n9,CDC,CD,C,D,D,D,0,1,0,3
28,5480,5480,280,29,s11n9usuario1,D,s11n9usuario4,C,4,2889.00017738,2865,user,rand,s11n9,CCD,CC,C,C,C,D,0,1,0,3
29,5490,5490,290,30,s11n9usuario1,C,s11n9usuario2,D,0,2232.10000992,2205,user,rand,s11n9,DCC,DC,D,C,C,C,0,1,0,3
30,5500,5500,300,31,s11n9usuario1,C,s11n9usuario4,C,3,1722.00012207,1696,user,rand,s11n9,CDC,CD,C,D,D,C,0,1,0,3
31,5510,5510,310,32,s11n9usuario1,C,s11n9usuario7,C,3,2447.49999046,2422,user,rand,s11n9,CCC,CC,C,C,C,D,0,1,0,3
32,5520,5520,320,33,s11n9usuario1,C,s11n9usuario3,D,0,1150.20012856,1120,user,rand,s11n9,CCC,CC,C,C,C,C,0,1,0,3
33,5530,5530,330,34,s11n9usuario1,C,s11n9usuario3,D,0,935.199975967,905,user,rand,s11n9,CDC,CD,C,D,C,C,0,1,0,3
34,5540,5540,340,35,s11n9usuario1,D,s11n9usuario5,D,1,2576.99990273,2558,user,rand,s11n9,CDD,CD,C,D,C,D,0,1,0,3
35,5550,5550,350,36,s11n9usuario1,D,s11n9usuario9,C,4,1376.70016289,1348,user,rand,s11n9,DDD,DD,D,D,C,D,0,1,0,3
36,5560,5560,360,37,s11n9usuario1,D,s11n9usuario2,D,1,2597.10001945,2573,user,rand,s11n9,DCD,DC,D,C,D,D,0,1,0,3
37,5570,5570,370,38,s11n9usuario1,D,s11n9usuario7,C,4,1517.89999008,1490,user,rand,s11n9,DDD,DD,D,D,D,C,0,1,0,3
38,5580,5580,380,39,s11n9usuario1,D,s11n9usuario7,C,4,1159.69991684,1133,user,rand,s11n9,DCD,DC,D,C,D,D,0,1,0,3
39,5590,5590,390,40,s11n9usuario1,D,s11n9usuario5,D,1,1196.79999352,1167,user,rand,s11n9,DCD,DC,D,C,D,C,0,1,0,3
40,5600,5600,400,41,s11n9usuario1,D,s11n9usuario9,D,1,1090.19994736,1064,user,rand,s11n9,DDD,DD,D,D,D,C,0,1,0,3
41,5610,5610,410,42,s11n9usuario1,C,s11n9usuario4,C,3,1044.79980469,1015,user,rand,s11n9,DDC,DD,D,D,D,D,0,1,0,3
42,5620,5620,420,43,s11n9usuario1,C,s11n9usuario5,D,0,842.400074005,818,user,rand,s11n9,CCC,CC,C,C,D,D,0,1,0,3
43,5630,5630,430,44,s11n9usuario1,C,s11n9usuario6,D,0,964.999914169,939,user,rand,s11n9,CDC,CD,C,D,C,C,0,1,0,3
44,5640,5640,440,45,s11n9usuario1,D,s11n9usuario4,D,1,1870.29981613,1845,user,rand,s11n9,CDD,CD,C,D,C,D,0,1,0,3
45,5650,5650,450,46,s11n9usuario1,D,s11n9usuario8,D,1,980.700016022,952,user,rand,s11n9,DDD,DD,D,D,C,D,0,1,0,3
46,5660,5660,460,47,s11n9usuario1,D,s11n9usuario3,C,4,1245.59998512,1221,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
47,5670,5670,470,48,s11n9usuario1,D,s11n9usuario8,D,1,953.099966049,925,user,rand,s11n9,DCD,DC,D,C,D,D,0,1,0,3
48,5680,5680,480,49,s11n9usuario1,D,s11n9usuario2,D,1,1041.39995575,1015,user,rand,s11n9,DDD,DD,D,D,D,C,0,1,0,3
49,5690,5690,490,50,s11n9usuario1,D,s11n9usuario6,D,1,990.099906921,966,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
50,5700,5700,500,51,s11n9usuario1,D,s11n9usuario7,D,1,2695.89996338,2678,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
51,5710,5710,510,52,s11n9usuario1,D,s11n9usuario7,D,1,1652.69994736,1625,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
52,5720,5720,520,53,s11n9usuario1,D,s11n9usuario7,D,1,869.899988174,843,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
53,5730,5730,530,54,s11n9usuario1,D,s11n9usuario9,D,1,882.5001716610001,856,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
54,5740,5740,540,55,s11n9usuario1,D,s11n9usuario10,D,1,1138.8001442,1086,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
55,5750,5750,550,56,s11n9usuario1,D,s11n9usuario8,C,4,1709.50007439,1686,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
56,5760,5760,560,57,s11n9usuario1,D,s11n9usuario6,C,4,6626.09982491,6566,user,rand,s11n9,DCD,DC,D,C,D,D,0,1,0,3
57,5770,5770,570,58,s11n9usuario1,D,s11n9usuario7,D,1,1700.79994202,1675,user,rand,s11n9,DCD,DC,D,C,D,C,0,1,0,3
58,5780,5780,580,59,s11n9usuario1,D,s11n9usuario2,D,1,859.09986496,835,user,rand,s11n9,DDD,DD,D,D,D,C,0,1,0,3
59,5790,5790,590,60,s11n9usuario1,D,s11n9usuario10,D,1,1239.79997635,1195,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
60,5800,5800,600,61,s11n9usuario1,D,s11n9usuario6,D,1,8286.49997711,8256,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
61,5810,5810,610,62,s11n9usuario1,D,s11n9usuario9,D,1,917.39988327,885,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
62,5820,5820,620,63,s11n9usuario1,D,s11n9usuario4,C,4,3813.8999939000014,3784,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
63,5830,5830,630,64,s11n9usuario1,D,s11n9usuario2,C,4,1554.39996719,1526,user,rand,s11n9,DCD,DC,D,C,D,D,0,1,0,3
64,5840,5840,640,65,s11n9usuario1,D,s11n9usuario3,D,1,1150.50005913,1124,user,rand,s11n9,DCD,DC,D,C,D,C,0,1,0,3
65,5850,5850,650,66,s11n9usuario1,D,s11n9usuario6,C,4,1170.79997063,1144,user,rand,s11n9,DDD,DD,D,D,D,C,0,1,0,3
66,5860,5860,660,67,s11n9usuario1,D,s11n9usuario9,D,1,1900.19989014,1871,user,rand,s11n9,DCD,DC,D,C,D,D,0,1,0,3
67,5870,5870,670,68,s11n9usuario1,D,s11n9usuario6,C,4,1669.80004311,1645,user,rand,s11n9,DDD,DD,D,D,D,C,0,1,0,3
68,5880,5880,680,69,s11n9usuario1,D,s11n9usuario9,D,1,1000.0,973,user,rand,s11n9,DCD,DC,D,C,D,D,0,1,0,3
69,5890,5890,690,70,s11n9usuario1,D,s11n9usuario3,C,4,1119.40002441,1096,user,rand,s11n9,DDD,DD,D,D,D,C,0,1,0,3
70,5900,5900,700,71,s11n9usuario1,D,s11n9usuario9,D,1,2144.59991455,2121,user,rand,s11n9,DCD,DC,D,C,D,D,0,1,0,3
71,5910,5910,710,72,s11n9usuario1,D,s11n9usuario8,C,4,1046.99993134,1019,user,rand,s11n9,DDD,DD,D,D,D,C,0,1,0,3
72,5920,5920,720,73,s11n9usuario1,D,s11n9usuario6,C,4,1068.30000877,1041,user,rand,s11n9,DCD,DC,D,C,D,D,0,1,0,3
73,5930,5930,730,74,s11n9usuario1,D,s11n9usuario5,D,1,1034.69991684,989,user,rand,s11n9,DCD,DC,D,C,D,C,0,1,0,3
74,5940,5940,740,75,s11n9usuario1,D,s11n9usuario10,D,1,805.79996109,776,user,rand,s11n9,DDD,DD,D,D,D,C,0,1,0,3
75,5950,5950,750,76,s11n9usuario1,D,s11n9usuario4,C,4,2072.29995728,2043,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
76,5960,5960,760,77,s11n9usuario1,D,s11n9usuario6,D,1,1486.40012741,1457,user,rand,s11n9,DCD,DC,D,C,D,D,0,1,0,3
77,5970,5970,770,78,s11n9usuario1,D,s11n9usuario3,D,1,864.5000457760001,842,user,rand,s11n9,DDD,DD,D,D,D,C,0,1,0,3
78,5980,5980,780,79,s11n9usuario1,D,s11n9usuario3,C,4,1020.69997787,996,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
79,5990,5990,790,80,s11n9usuario1,D,s11n9usuario9,C,4,1045.30000687,1020,user,rand,s11n9,DCD,DC,D,C,D,D,0,1,0,3
80,6000,6000,800,81,s11n9usuario1,D,s11n9usuario5,D,1,1535.60018539,1511,user,rand,s11n9,DCD,DC,D,C,D,C,0,1,0,3
81,6010,6010,810,82,s11n9usuario1,C,s11n9usuario7,D,0,1319.70000267,1300,user,rand,s11n9,DDC,DD,D,D,D,C,0,1,0,3
82,6020,6020,820,83,s11n9usuario1,C,s11n9usuario7,C,3,1148.80013466,1125,user,rand,s11n9,CDC,CD,C,D,D,D,0,1,0,3
83,6030,6030,830,84,s11n9usuario1,C,s11n9usuario5,D,0,1096.2998867,1080,user,rand,s11n9,CCC,CC,C,C,C,D,0,1,0,3
84,6040,6040,840,85,s11n9usuario1,D,s11n9usuario4,C,4,1324.8000145,1297,user,rand,s11n9,CDD,CD,C,D,C,C,0,1,0,3
85,6050,6050,850,86,s11n9usuario1,D,s11n9usuario10,D,1,583.300113678,558,user,rand,s11n9,DCD,DC,D,C,C,D,0,1,0,3
86,6060,6060,860,87,s11n9usuario1,D,s11n9usuario5,D,1,855.399847031,829,user,rand,s11n9,DDD,DD,D,D,D,C,0,1,0,3
87,6070,6070,870,88,s11n9usuario1,D,s11n9usuario10,D,1,1131.20007515,1107,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
88,6080,6080,880,89,s11n9usuario1,D,s11n9usuario5,D,1,1392.89999008,1367,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
89,6090,6090,890,90,s11n9usuario1,D,s11n9usuario4,D,1,717.0999050139999,697,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
90,6100,6100,900,91,s11n9usuario1,D,s11n9usuario7,C,4,624.400138855,599,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
91,6110,6110,910,92,s11n9usuario1,D,s11n9usuario9,D,1,1035.40015221,1007,user,rand,s11n9,DCD,DC,D,C,D,D,0,1,0,3
92,6120,6120,920,93,s11n9usuario1,D,s11n9usuario6,C,4,549.400091171,526,user,rand,s11n9,DDD,DD,D,D,D,C,0,1,0,3
93,6130,6130,930,94,s11n9usuario1,D,s11n9usuario2,C,4,539.800167084,511,user,rand,s11n9,DCD,DC,D,C,D,D,0,1,0,3
94,6140,6140,940,95,s11n9usuario1,D,s11n9usuario7,D,1,743.499994278,716,user,rand,s11n9,DCD,DC,D,C,D,C,0,1,0,3
95,6150,6150,950,96,s11n9usuario1,D,s11n9usuario2,D,1,1527.99987793,1503,user,rand,s11n9,DDD,DD,D,D,D,C,0,1,0,3
96,6160,6160,960,97,s11n9usuario1,D,s11n9usuario8,D,1,642.300128937,618,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
97,6170,6170,970,98,s11n9usuario1,D,s11n9usuario8,D,1,622.5001811980001,596,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
98,6180,6180,980,99,s11n9usuario1,D,s11n9usuario9,D,1,651.500225067,632,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
99,6190,6190,990,100,s11n9usuario1,D,s11n9usuario8,D,1,480.399847031,453,user,rand,s11n9,DDD,DD,D,D,D,D,0,1,0,3
100,5209,5209,9,1,s11n9usuario10,C,s11n9usuario1,C,3,4039.49999809,4011,user,rand,s11n9,--,--,,,-1,-1,1,1,5,4
101,5219,5219,19,2,s11n9usuario10,D,s11n9usuario1,C,4,5991.49990082,5963,user,rand,s11n9,CCD,CC,C,C,-1,-1,1,1,5,4
102,5229,5229,29,3,s11n9usuario10,D,s11n9usuario2,D,1,7698.4000206,7648,user,rand,s11n9,DCD,DC,D,C,C,C,1,1,5,4
103,5239,5239,39,4,s11n9usuario10,D,s11n9usuario6,D,1,7697.79992104,7664,user,rand,s11n9,DDD,DD,D,D,D,C,1,1,5,4
104,5249,5249,49,5,s11n9usuario10,C,s11n9usuario2,D,0,8027.60004997,7996,user,rand,s11n9,DDC,DD,D,D,D,D,1,1,5,4
105,5259,5259,59,6,s11n9usuario10,D,s11n9usuario6,C,4,4684.00001526,4655,user,rand,s11n9,CDD,CD,C,D,D,D,1,1,5,4
106,5269,5269,69,7,s11n9usuario10,D,s11n9usuario5,D,1,4668.69997978,4638,user,rand,s11n9,DCD,DC,D,C,C,D,1,1,5,4
107,5279,5279,79,8,s11n9usuario10,D,s11n9usuario9,D,1,5061.39993668,5029,user,rand,s11n9,DDD,DD,D,D,D,C,1,1,5,4
108,5289,5289,89,9,s11n9usuario10,C,s11n9usuario5,D,0,7138.8001442,7104,user,rand,s11n9,DDC,DD,D,D,D,D,1,1,5,4
109,5299,5299,99,10,s11n9usuario10,D,s11n9usuario9,C,4,3257.29990005,3238,user,rand,s11n9,CDD,CD,C,D,D,D,1,1,5,4
110,5309,5309,109,11,s11n9usuario10,D,s11n9usuario5,D,1,1958.40001106,1931,user,rand,s11n9,DCD,DC,D,C,C,D,1,1,5,4
111,5319,5319,119,12,s11n9usuario10,D,s11n9usuario3,D,1,2877.79998779,2851,user,rand,s11n9,DDD,DD,D,D,D,C,1,1,5,4
112,5329,5329,129,13,s11n9usuario10,D,s11n9usuario3,C,4,15963.6001587,15929,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
113,5339,5339,139,14,s11n9usuario10,D,s11n9usuario5,D,1,6202.89993286,6171,user,rand,s11n9,DCD,DC,D,C,D,D,1,1,5,4
114,5349,5349,149,15,s11n9usuario10,D,s11n9usuario4,D,1,6031.80003166,6003,user,rand,s11n9,DDD,DD,D,D,D,C,1,1,5,4
115,5359,5359,159,16,s11n9usuario10,C,s11n9usuario8,C,3,4190.19985199,4163,user,rand,s11n9,DDC,DD,D,D,D,D,1,1,5,4
116,5369,5369,169,17,s11n9usuario10,C,s11n9usuario2,D,0,5799.99995232,5770,user,rand,s11n9,CCC,CC,C,C,D,D,1,1,5,4
117,5379,5379,179,18,s11n9usuario10,D,s11n9usuario8,D,1,2362.90001869,2331,user,rand,s11n9,CDD,CD,C,D,C,C,1,1,5,4
118,5389,5389,189,19,s11n9usuario10,D,s11n9usuario3,D,1,3775.59995651,3749,user,rand,s11n9,DDD,DD,D,D,C,D,1,1,5,4
119,5399,5399,199,20,s11n9usuario10,D,s11n9usuario1,C,4,3493.70002747,3466,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
120,5409,5409,209,21,s11n9usuario10,D,s11n9usuario8,C,4,2975.19993782,2947,user,rand,s11n9,DCD,DC,D,C,D,D,1,1,5,4
121,5419,5419,219,22,s11n9usuario10,D,s11n9usuario6,C,4,1815.29998779,1765,user,rand,s11n9,DCD,DC,D,C,D,C,1,1,5,4
122,5429,5429,229,23,s11n9usuario10,D,s11n9usuario4,C,4,2621.20008469,2597,user,rand,s11n9,DCD,DC,D,C,D,C,1,1,5,4
123,5439,5439,239,24,s11n9usuario10,D,s11n9usuario8,D,1,1838.39988708,1813,user,rand,s11n9,DCD,DC,D,C,D,C,1,1,5,4
124,5449,5449,249,25,s11n9usuario10,D,s11n9usuario9,D,1,1690.39988518,1671,user,rand,s11n9,DDD,DD,D,D,D,C,1,1,5,4
125,5459,5459,259,26,s11n9usuario10,D,s11n9usuario1,D,1,2947.79992104,2898,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
126,5469,5469,269,27,s11n9usuario10,D,s11n9usuario1,C,4,4710.20007133,4685,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
127,5479,5479,279,28,s11n9usuario10,D,s11n9usuario8,C,4,3621.60015106,3593,user,rand,s11n9,DCD,DC,D,C,D,D,1,1,5,4
128,5489,5489,289,29,s11n9usuario10,D,s11n9usuario8,D,1,1906.1999321,1881,user,rand,s11n9,DCD,DC,D,C,D,C,1,1,5,4
129,5499,5499,299,30,s11n9usuario10,D,s11n9usuario3,D,1,2002.59995461,1976,user,rand,s11n9,DDD,DD,D,D,D,C,1,1,5,4
130,5509,5509,309,31,s11n9usuario10,D,s11n9usuario9,D,1,3546.70000076,3517,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
131,5519,5519,319,32,s11n9usuario10,D,s11n9usuario4,C,4,2727.39982605,2700,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
132,5529,5529,329,33,s11n9usuario10,D,s11n9usuario4,C,4,2117.59996414,2093,user,rand,s11n9,DCD,DC,D,C,D,D,1,1,5,4
133,5539,5539,339,34,s11n9usuario10,D,s11n9usuario7,C,4,1689.89992142,1659,user,rand,s11n9,DCD,DC,D,C,D,C,1,1,5,4
134,5549,5549,349,35,s11n9usuario10,D,s11n9usuario6,D,1,1414.69979286,1386,user,rand,s11n9,DCD,DC,D,C,D,C,1,1,5,4
135,5559,5559,359,36,s11n9usuario10,D,s11n9usuario7,C,4,1200.20008087,1173,user,rand,s11n9,DDD,DD,D,D,D,C,1,1,5,4
136,5569,5569,369,37,s11n9usuario10,D,s11n9usuario3,D,1,1542.39988327,1514,user,rand,s11n9,DCD,DC,D,C,D,D,1,1,5,4
137,5579,5579,379,38,s11n9usuario10,D,s11n9usuario5,D,1,1430.79996109,1405,user,rand,s11n9,DDD,DD,D,D,D,C,1,1,5,4
138,5589,5589,389,39,s11n9usuario10,D,s11n9usuario8,D,1,1668.40004921,1641,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
139,5599,5599,399,40,s11n9usuario10,D,s11n9usuario7,C,4,914.499998093,884,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
140,5609,5609,409,41,s11n9usuario10,D,s11n9usuario4,C,4,1170.90010643,1146,user,rand,s11n9,DCD,DC,D,C,D,D,1,1,5,4
141,5619,5619,419,42,s11n9usuario10,D,s11n9usuario9,D,1,1301.5999794000004,1275,user,rand,s11n9,DCD,DC,D,C,D,C,1,1,5,4
142,5629,5629,429,43,s11n9usuario10,D,s11n9usuario7,C,4,1103.80005836,1070,user,rand,s11n9,DDD,DD,D,D,D,C,1,1,5,4
143,5639,5639,439,44,s11n9usuario10,D,s11n9usuario4,C,4,1199.10001755,1173,user,rand,s11n9,DCD,DC,D,C,D,D,1,1,5,4
144,5649,5649,449,45,s11n9usuario10,D,s11n9usuario6,D,1,1117.000103,1090,user,rand,s11n9,DCD,DC,D,C,D,C,1,1,5,4
145,5659,5659,459,46,s11n9usuario10,D,s11n9usuario2,D,1,1119.99988556,1092,user,rand,s11n9,DDD,DD,D,D,D,C,1,1,5,4
146,5669,5669,469,47,s11n9usuario10,D,s11n9usuario8,C,4,1012.00008392,992,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
147,5679,5679,479,48,s11n9usuario10,D,s11n9usuario6,D,1,1651.90005302,1628,user,rand,s11n9,DCD,DC,D,C,D,D,1,1,5,4
148,5689,5689,489,49,s11n9usuario10,D,s11n9usuario9,D,1,1614.50004578,1586,user,rand,s11n9,DDD,DD,D,D,D,C,1,1,5,4
149,5699,5699,499,50,s11n9usuario10,D,s11n9usuario9,D,1,1134.89985466,1108,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
150,5709,5709,509,51,s11n9usuario10,D,s11n9usuario2,D,1,1616.49990082,1590,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
151,5719,5719,519,52,s11n9usuario10,D,s11n9usuario3,C,4,1833.99987221,1808,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
152,5729,5729,529,53,s11n9usuario10,D,s11n9usuario9,C,4,1233.79993439,1211,user,rand,s11n9,DCD,DC,D,C,D,D,1,1,5,4
153,5739,5739,539,54,s11n9usuario10,D,s11n9usuario2,D,1,1015.50006866,986,user,rand,s11n9,DCD,DC,D,C,D,C,1,1,5,4
154,5749,5749,549,55,s11n9usuario10,D,s11n9usuario1,D,1,1404.29997444,1380,user,rand,s11n9,DDD,DD,D,D,D,C,1,1,5,4
155,5759,5759,559,56,s11n9usuario10,D,s11n9usuario5,D,1,1654.29997444,1628,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
156,5769,5769,569,57,s11n9usuario10,D,s11n9usuario3,C,4,1234.9998951,1208,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
157,5779,5779,579,58,s11n9usuario10,D,s11n9usuario9,D,1,1547.19996452,1520,user,rand,s11n9,DCD,DC,D,C,D,D,1,1,5,4
158,5789,5789,589,59,s11n9usuario10,D,s11n9usuario5,D,1,1050.49991608,1026,user,rand,s11n9,DDD,DD,D,D,D,C,1,1,5,4
159,5799,5799,599,60,s11n9usuario10,D,s11n9usuario1,D,1,2097.30005264,2070,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
160,5809,5809,609,61,s11n9usuario10,D,s11n9usuario4,C,4,1029.09994125,1003,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
161,5819,5819,619,62,s11n9usuario10,D,s11n9usuario8,C,4,1401.80015564,1375,user,rand,s11n9,DCD,DC,D,C,D,D,1,1,5,4
162,5829,5829,629,63,s11n9usuario10,D,s11n9usuario6,C,4,1774.19996262,1746,user,rand,s11n9,DCD,DC,D,C,D,C,1,1,5,4
163,5839,5839,639,64,s11n9usuario10,D,s11n9usuario8,C,4,1838.59992027,1811,user,rand,s11n9,DCD,DC,D,C,D,C,1,1,5,4
164,5849,5849,649,65,s11n9usuario10,D,s11n9usuario5,D,1,1149.49989319,1130,user,rand,s11n9,DCD,DC,D,C,D,C,1,1,5,4
165,5859,5859,659,66,s11n9usuario10,D,s11n9usuario5,D,1,1363.20018768,1310,user,rand,s11n9,DDD,DD,D,D,D,C,1,1,5,4
166,5869,5869,669,67,s11n9usuario10,D,s11n9usuario8,D,1,1305.50003052,1279,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
167,5879,5879,679,68,s11n9usuario10,D,s11n9usuario9,D,1,2567.80004501,2549,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
168,5889,5889,689,69,s11n9usuario10,D,s11n9usuario8,D,1,2714.40005302,2690,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
169,5899,5899,699,70,s11n9usuario10,D,s11n9usuario7,D,1,1726.50003433,1662,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
170,5909,5909,709,71,s11n9usuario10,D,s11n9usuario7,D,1,1209.80000496,1181,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
171,5919,5919,719,72,s11n9usuario10,D,s11n9usuario7,D,1,3169.50011253,3142,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
172,5929,5929,729,73,s11n9usuario10,D,s11n9usuario4,C,4,1188.70019913,1162,user,rand,s11n9,DDD,DD,D,D,D,D,1,1,5,4
173,5939,5939,739,74,s11n9usuario10,D,s11n9usuario3,D,1,2130.19990921,2097,user,rand,s11n9,DCD,DC,D,C,D,D,1,1,5,4
